time, x, y, type, size
2015-01-01, 26.0957, -80.1049, E, 1.58
2015-01-01, 26.8731, -80.049, SSE, 4.37
2015-01-01, 32.2255, -83.2349, SW, 0.42
2015-01-01, 32.2245, -83.2403, WSW, 0.71
2015-01-01, 39.28, -76.62, N, 0
2015-01-01, 38.87, -77.01, N, 0
2015-01-01, 38.85, -76.54, WSW, 6.39
2015-01-01, 38.9, -76.44, N, 0
2015-01-01, 38.73, -76.54, SSW, 12.92
2015-01-01, 39.36, -76.37, ENE, 12.99
2015-01-01, 38.24, -76.83, WNW, 17.98
2015-01-01, 38.13, -76.53, N, 0
2015-01-01, 37.98, -76.04, N, 0
2015-01-01, 38.8992, -77.0236, NNW, 2.15
2015-01-01, 39.22, -76.528, NNW, 4.26
2015-01-01, 39.01, -76.4, N, 0
2015-01-01, 38.9389, -76.4844, W, 2.39
2015-01-01, 38.98, -76.48, N, 0
2015-01-01, 38.97, -76.46, N, 0
2015-01-01, 38.92, -76.36, N, 0
2015-01-01, 38.734, -76.539, SSW, 12.65
2015-01-01, 38.5667, -76.0667, SSE, 35.5
2015-01-01, 38.29, -76.4, NNE, 13.12
2015-01-01, 38.04, -76.32, N, 0
2015-01-01, 38.03, -76.34, N, 0
2015-01-01, 38.22, -76.04, N, 0
2015-01-01, 39.253, -76.371, NNW, 0.21
2015-01-01, 38.34, -76.99, N, 0
2015-01-01, 32.1867, -83.3215, SE, 9.04
2015-01-01, 32.173, -83.3551, SSE, 8.59
2015-01-01, 32.1205, -83.4974, SSE, 0.67
2015-01-01, 32.1207, -83.5002, S, 0.64
2015-01-01, 33.8669, -84.2683, ESE, 2.03
2015-01-01, 33.8602, -84.2853, SSE, 1.61
2015-01-01, 33.68, -84.35, N, 0
2015-01-01, 33.7, -84.24, E, 1.72
2015-01-01, 33.74, -84.23, SW, 0.9
2015-01-01, 33.7, -84.35, N, 1.38
2015-01-01, 33.68, -84.36, W, 0.57
2015-01-01, 33.68, -84.29, SW, 1.8
2015-01-01, 33.75, -84.36, SSW, 2.15
2015-01-01, 33.71, -84.4, NW, 3.54
2015-01-01, 34.14, -84.47, SE, 2.69
2015-01-01, 34.15, -84.52, N, 0
2015-01-01, 34.11, -84.53, NW, 0.9
2015-01-01, 34.07, -84.48, SE, 3.09
2015-01-01, 34.1, -84.34, ESE, 2.67
2015-01-01, 34.15, -84.38, N, 2.07
2015-01-01, 34.07, -84.27, W, 1.14
2015-01-01, 34.04, -84.33, ENE, 2.39
2015-01-01, 34.02, -84.3, S, 3.45
2015-01-01, 38.94, -76.44, N, 0
2015-01-01, 38.43, -76.39, N, 0
2015-01-01, 38.976, -76.33, S, 0.28
2015-01-01, 39.363, -76.371, NE, 3.09
2015-01-01, 34.04, -84.25, S, 2.07
2015-01-01, 34.1, -84.2, NNE, 2.37
2015-01-01, 34.1, -84.25, N, 2.07
2015-01-01, 33.109, -86.7774, NW, 0.76
2015-01-01, 33.94, -85.19, WSW, 1.34
2015-01-01, 33.94, -85.08, SW, 3.98
2015-01-01, 34.08, -84.98, ENE, 2.39
2015-01-01, 34.08, -85.09, NW, 0.9
2015-01-01, 33.94, -85.19, WSW, 1.34
2015-01-01, 33.94, -85.08, SW, 3.98
2015-01-01, 34.08, -84.98, ENE, 2.39
2015-01-01, 34.08, -85.09, NW, 0.9
2015-01-01, 33.99, -84.65, NE, 1.8
2015-01-01, 34.05, -84.68, SSW, 2.15
2015-01-01, 33.96, -84.74, NW, 3.09
2015-01-01, 33.96, -84.67, S, 0.69
2015-01-01, 27.02, -82.2376, NNW, 4.96
2015-01-01, 27.0079, -82.2554, NNW, 4.56
2015-01-01, 27.6305, -81.556, NNW, 3.84
2015-01-01, 27.0079, -82.2554, SSE, 3.04
2015-01-01, 26.989, -82.2878, ENE, 2.08
2015-01-01, 29.0748, -95.6103, NW, 2.51
2015-01-01, 29.0746, -95.605, NW, 2.27
2015-01-01, 29.0772, -95.6051, NW, 2.42
2015-01-01, 29.0773, -95.6103, NW, 2.63
2015-01-01, 34.3741, -93.8769, NW, 0.48
2015-01-01, 34.3753, -93.8774, NW, 0.56
2015-01-01, 34.373, -93.8799, WNW, 0.6
2015-01-01, 34.3694, -93.8803, W, 0.59
2015-01-01, 34.3694, -93.8781, W, 0.46
2015-01-01, 34.3719, -93.878, WNW, 0.48
2015-01-01, 40.0431, -75.0393, NNW, 1.67
2015-01-01, 40.0533, -75.0434, SSW, 1.98
2015-01-01, 40.06, -75.0393, SSW, 1.47
2015-01-01, 40.0606, -75.0336, S, 1.36
2015-01-01, 40.0504, -75.0343, W, 1.82
2015-01-01, 40.0532, -75.0197, WNW, 1.07
2015-01-01, 40.0512, -75.0161, W, 0.85
2015-01-01, 40.0442, -75.0192, WSW, 1.09
2015-01-01, 39.9623, -75.4272, SSE, 0.55
2015-01-01, 39.9644, -75.4213, SE, 0.6
2015-01-01, 39.9721, -75.4297, N, 0.14
2015-01-01, 39.9796, -75.4374, W, 0.39
2015-01-01, 39.9791, -75.4385, W, 0.46
2015-01-01, 39.9746, -75.4387, NW, 0.56
2015-01-01, 40.935, -73.805, WNW, 1.35
2015-01-01, 40.9309, -73.8008, W, 1.09
2015-01-01, 40.9152, -73.8108, ESE, 1.05
2015-01-01, 40.6986, -74.2468, ESE, 0.19
2015-01-01, 40.6971, -74.2462, SE, 0.28
2015-01-01, 40.6896, -74.2948, SSE, 0.77
2015-01-01, 40.6909, -74.2952, SSE, 0.68
2015-01-01, 40.0431, -75.0393, NNW, 1.67
2015-01-01, 40.0533, -75.0434, SSW, 1.98
2015-01-01, 40.06, -75.0393, SSW, 1.47
2015-01-01, 40.0606, -75.0336, S, 1.36
2015-01-01, 40.0504, -75.0343, W, 1.82
2015-01-01, 40.0512, -75.0161, W, 0.85
2015-01-01, 40.0442, -75.0192, WSW, 1.09
2015-01-01, 39.9623, -75.4272, SSE, 0.55
2015-01-01, 39.9644, -75.4213, SE, 0.6
2015-01-01, 39.9721, -75.4297, N, 0.14
2015-01-01, 39.9796, -75.4374, W, 0.39
2015-01-01, 39.9791, -75.4385, W, 0.46
2015-01-01, 40.4191, -74.4325, N, 1.33
2015-01-01, 40.4764, -74.8272, WSW, 0.45
2015-01-01, 40.4703, -74.8041, SE, 1.07
2015-01-01, 40.4633, -74.7979, N, 0.93
2015-01-01, 40.4618, -74.8077, NNW, 0.91
2015-01-01, 40.4645, -74.827, SSW, 1.13
2015-01-01, 40.4713, -74.8397, SE, 0.81
2015-01-01, 40.477, -74.8388, ESE, 0.62
2015-01-01, 40.4716, -74.5617, SSE, 2.01
2015-01-01, 40.4382, -74.6141, SSE, 0.87
2015-01-01, 40.4358, -74.6202, S, 0.98
2015-01-01, 40.4988, -74.748, W, 1.47
2015-01-01, 40.5071, -74.7471, SW, 1.27
2015-01-01, 40.5605, -74.7148, WSW, 1.94
2015-01-01, 40.5592, -74.6859, SSW, 0.81
2015-01-01, 40.3062, -74.6839, NNW, 0.47
2015-01-01, 40.3088, -74.6791, N, 0.61
2015-01-01, 40.3163, -74.6823, N, 1.14
2015-01-01, 40.3253, -74.6781, N, 1.75
2015-01-01, 40.3257, -74.6807, SSW, 1.77
2015-01-01, 39.9686, -74.8896, SE, 0.96
2015-01-01, 39.9687, -74.8861, SE, 1.07
2015-01-01, 39.9605, -74.8857, SSE, 1.55
2015-01-01, 39.9562, -74.8957, S, 1.66
2015-01-01, 39.6553, -75.6729, S, 1.03
2015-01-01, 39.6487, -75.666, N, 1.31
2015-01-01, 39.6278, -75.6914, W, 1.15
2015-01-01, 39.6318, -75.729, NNE, 0.13
2015-01-01, 39.6462, -75.7384, WSW, 0.52
2015-01-01, 40.0096, -74.059, S, 4.89
2015-01-01, 39.2584, -74.6068, SSW, 0.88
2015-01-01, 39.4, -75.03, N, 0
2015-01-01, 39.5218, -74.3191, WSW, 4.17
2015-01-01, 39.2554, -74.602, SW, 2.07
2015-01-01, 39.305, -75.377, N, 17.77
2015-01-01, 38.968, -74.96, SSW, 0.99
2015-01-01, 38.783, -75.119, ENE, 1.9
2015-01-01, 35.3077, -86.2749, SE, 2.09
2015-01-01, 35.3082, -86.2732, SE, 2.13
2015-01-01, 35.3089, -86.2735, SE, 2.09
2015-01-01, 35.3084, -86.2753, SE, 2.05
2015-01-01, 34.3049, -86.1503, SE, 1.54
2015-01-01, 34.2645, -86.2516, SE, 1.5
2015-01-01, 34.2818, -86.2197, N, 0.81
2015-01-01, 34.2738, -86.2324, WNW, 0.75
2015-01-01, 34.7926, -87.6759, SSW, 0.61
2015-01-01, 34.7884, -87.6731, SSW, 0.82
2015-01-01, 34.7979, -87.6669, SE, 0.23
2015-01-01, 34.7983, -87.666, ESE, 0.26
2015-01-01, 34.7991, -87.6665, ESE, 0.21
2015-01-01, 34.7988, -87.6674, ESE, 0.17
2015-01-01, 40.9218, -73.8195, ENE, 0.56
2015-01-01, 40.9211, -73.8081, E, 1.15
2015-01-01, 40.9227, -73.8083, E, 1.15
2015-01-01, 40.9227, -73.819, ENE, 0.6
2015-01-01, 40.9161, -73.8131, ESE, 0.92
2015-01-01, 40.9463, -73.8018, E, 1.49
2015-01-01, 40.9458, -73.7979, NW, 1.44
2015-01-01, 40.4129, -74.3073, NNW, 0.97
2015-01-01, 40.4191, -74.4325, N, 1.33
2015-01-01, 40.4764, -74.8272, WSW, 0.45
2015-01-01, 40.4703, -74.8041, SE, 1.07
2015-01-01, 40.4633, -74.7979, N, 0.93
2015-01-01, 40.4618, -74.8077, NNW, 0.91
2015-01-01, 40.4645, -74.827, SSW, 1.13
2015-01-01, 40.4713, -74.8397, SE, 0.81
2015-01-01, 40.4746, -74.8449, SE, 0.46
2015-01-01, 40.477, -74.8388, ESE, 0.62
2015-01-01, 40.4716, -74.5617, SSE, 2.01
2015-01-01, 40.4382, -74.6141, SSE, 0.87
2015-01-01, 40.4358, -74.6202, S, 0.98
2015-01-01, 40.4988, -74.748, W, 1.47
2015-01-01, 40.5071, -74.7471, SW, 1.27
2015-01-01, 40.5605, -74.7148, WSW, 1.94
2015-01-01, 40.5592, -74.6859, SSW, 0.81
2015-01-01, 40.3171, -74.6872, NNW, 1.24
2015-01-01, 40.3062, -74.6839, NNW, 0.47
2015-01-01, 40.3088, -74.6791, N, 0.61
2015-01-01, 40.3163, -74.6823, N, 1.14
